"","id","dataset_id","decimallongitude","decimallatitude","date_start","date_mid","date_end","date_year","scientificname","originalscientificname","minimumdepthinmeters","maximumdepthinmeters","coordinateuncertaintyinmeters","flags","dropped","absence","shoredistance","bathymetry","sst","sss","marine","brackish","freshwater","terrestrial","taxonrank","aphiaid","redlist_category","superdomain","domain","kingdom","subkingdom","infrakingdom","phylum","phylum_division","subphylum_subdivision","subphylum","infraphylum","superclass","class","subclass","infraclass","subterclass","superorder","order","suborder","infraorder","parvorder","superfamily","family","subfamily","supertribe","tribe","subtribe","genus","subgenus","section","subsection","series","species","subspecies","natio","variety","subvariety","forma","subforma","type","modified","language","license","rightsholder","accessrights","bibliographiccitation","references","institutionid","collectionid","datasetid","institutioncode","collectioncode","datasetname","ownerinstitutioncode","basisofrecord","informationwithheld","datageneralizations","dynamicproperties","materialsampleid","occurrenceid","catalognumber","occurrenceremarks","recordnumber","recordedby","recordedbyid","individualcount","organismquantity","organismquantitytype","sex","lifestage","reproductivecondition","behavior","establishmentmeans","occurrencestatus","preparations","disposition","othercatalognumbers","associatedmedia","associatedreferences","associatedsequences","associatedtaxa","organismid","organismname","organismscope","associatedoccurrences","associatedorganisms","previousidentifications","organismremarks","eventid","parenteventid","samplingprotocol","samplesizevalue","samplesizeunit","samplingeffort","eventdate","eventtime","startdayofyear","enddayofyear","year","month","day","verbatimeventdate","habitat","fieldnumber","fieldnotes","eventremarks","locationid","highergeographyid","highergeography","continent","waterbody","islandgroup","island","country","countrycode","stateprovince","county","municipality","locality","verbatimlocality","verbatimelevation","minimumelevationinmeters","maximumelevationinmeters","verbatimdepth","minimumdistanceabovesurfaceinmeters","maximumdistanceabovesurfaceinmeters","locationaccordingto","locationremarks","verbatimcoordinates","verbatimlatitude","verbatimlongitude","verbatimcoordinatesystem","verbatimsrs","geodeticdatum","coordinateprecision","pointradiusspatialfit","footprintwkt","footprintsrs","footprintspatialfit","georeferencedby","georeferenceddate","georeferenceprotocol","georeferencesources","georeferenceverificationstatus","georeferenceremarks","geologicalcontextid","earliesteonorlowesteonothem","latesteonorhighesteonothem","earliesteraorlowesterathem","latesteraorhighesterathem","earliestperiodorlowestsystem","latestperiodorhighestsystem","earliestepochorlowestseries","latestepochorhighestseries","earliestageorloweststage","latestageorhigheststage","lowestbiostratigraphiczone","highestbiostratigraphiczone","lithostratigraphicterms","group","formation","member","bed","identificationid","identifiedby","identifiedbyid","dateidentified","identificationreferences","identificationremarks","identificationqualifier","identificationverificationstatus","typestatus","taxonid","scientificnameid","acceptednameusageid","parentnameusageid","originalnameusageid","nameaccordingtoid","namepublishedinid","taxonconceptid","acceptednameusage","parentnameusage","originalnameusage","nameaccordingto","namepublishedin","namepublishedinyear","higherclassification","specificepithet","infraspecificepithet","verbatimtaxonrank","scientificnameauthorship","vernacularname","nomenclaturalcode","taxonomicstatus","nomenclaturalstatus","taxonremarks"
"1","d8996651-7b0c-43e5-ab18-2e7b87300d0d","9b787218-7138-4ffa-8ba6-36d63d391f8c",14.25,40.8333015442,NA,NA,NA,NA,"Chelon ramada","Liza ramado",NA,NA,NA,"{no_depth,on_land}","f","f",-170,-1,19.91,37.91,1,1,1,0,"Species",1042830,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Mugiliformes","Mugiloidei",NA,NA,NA,"Mugilidae","",NA,NA,NA,"Chelon","",NA,NA,NA,"Chelon ramada","",NA,NA,NA,NA,NA,"","","","","","","","","","","","NRM","Occurrence","","","PreservedSpecimen","","","observedindividualcount=2;","","","NRM 4893","","","Russo, A","","","","","","",NA,"","","","Ethanol","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,"",NA,NA,"","","RUSSO-1895OCT","","","","","","","Europe","","","Italy","","Napoli","","","Atlantic Ocean Mediterranean Sea: Napoli","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Unknown","","","","","","","","","urn:lsid:marinespecies.org:taxname:273645","","","","","","","","","","","",NA,"","","","","(Risso, 1810)","","","",NA,""
"2","efec0b42-4a96-4c9b-b825-7e3b86abf9e1","36fbc01b-72bd-42f0-af0a-e1701cddcf94",20,35,NA,NA,NA,NA,"Chelon ramada","Liza ramada",NA,NA,10,"{no_depth}","f","f",245856,2989,21.21,38.57,1,1,1,0,"Species",1042830,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Mugiliformes","Mugiloidei",NA,NA,NA,"Mugilidae","",NA,NA,NA,"Chelon","",NA,NA,NA,"Chelon ramada","",NA,NA,NA,NA,NA,"Collection","","","CC BY 4.0","MNHN","","","","","8","","MNHN","IC","","","PreservedSpecimen","","","","","FN2-56816214-8-MNHN","0000-4985","","FN2-56816214-8-MNHN","""""inconnu|de l'isthme, commission""""","","1","","","","",NA,"","","present","","","","","","","","",NA,"","",NA,"","","","","","","","","0000-00-00","",NA,NA,"",NA,NA,"","","","","","","","","","","","","mer mediterranee","","","","","","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","urn:lsid:marinespecies.org:taxname:126980","","","","","","","","","","","",NA,"","","","","","","","",NA,""
"3","0eecc57b-0851-4d30-8690-4205d18abed2","36fbc01b-72bd-42f0-af0a-e1701cddcf94",35,43,NA,NA,NA,NA,"Chelon ramada","Liza ramada",NA,NA,10,"{no_depth}","f","f",100396,2162,16.26,18.93,1,1,1,0,"Species",1042830,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Mugiliformes","Mugiloidei",NA,NA,NA,"Mugilidae","",NA,NA,NA,"Chelon","",NA,NA,NA,"Chelon ramada","",NA,NA,NA,NA,NA,"Collection","","","CC BY 4.0","MNHN","","","","","8","","MNHN","IC","","","PreservedSpecimen","","","","","FN2-56816507-8-MNHN","A-3698","","FN2-56816507-8-MNHN","rousseau","","1","","","","",NA,"","","present","","","","","","","","",NA,"","",NA,"","","","","","","","","0000-00-00","",NA,NA,"",NA,NA,"","","","","","","","","","","","","mer noire","","","","","","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","urn:lsid:marinespecies.org:taxname:126980","","","","","","","","","","","",NA,"","","","","","","","",NA,""
"4","88ecea24-953c-4cd4-b2fe-8a8084eea6fb","36fbc01b-72bd-42f0-af0a-e1701cddcf94",7.267,43.7,NA,NA,NA,NA,"Chelon ramada","Liza ramada",NA,NA,1,"{no_depth,on_land}","f","f",-615,37,18.48,38.11,1,1,1,0,"Species",1042830,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Mugiliformes","Mugiloidei",NA,NA,NA,"Mugilidae","",NA,NA,NA,"Chelon","",NA,NA,NA,"Chelon ramada","",NA,NA,NA,NA,NA,"Collection","","","CC BY 4.0","MNHN","","","","","8","","MNHN","IC","","","PreservedSpecimen","","","","","FN2-56816765-8-MNHN","1898-0833","","FN2-56816765-8-MNHN","moreau","","2","","","","",NA,"","","present","","","","","","","","",NA,"","",NA,"","","","","","","","","0000-00-00","",NA,NA,"",NA,NA,"","","","","","","","","","","","","france","","","","","nice","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","urn:lsid:marinespecies.org:taxname:126980","","","","","","","","","","","",NA,"","","","","","","","",NA,""
"5","d4eea616-fa52-4ad7-8640-252e9575e6df","36fbc01b-72bd-42f0-af0a-e1701cddcf94",-1.167,44.75,NA,NA,NA,NA,"Chelon ramada","Liza ramada",NA,NA,10,"{no_depth}","f","f",397,-3,16.02,31.49,1,1,1,0,"Species",1042830,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Mugiliformes","Mugiloidei",NA,NA,NA,"Mugilidae","",NA,NA,NA,"Chelon","",NA,NA,NA,"Chelon ramada","",NA,NA,NA,NA,NA,"Collection","","","CC BY 4.0","MNHN","","","","","8","","MNHN","IC","","","PreservedSpecimen","","","","","FN2-56816962-8-MNHN","1955-0048","","FN2-56816962-8-MNHN","bauchot|bauchot","","1","","","","",NA,"","","present","","","","","","","","",NA,"","",NA,"","","","","","","","","0000-00-00","",NA,NA,"",NA,NA,"","","","","","","","","","","","","france","","","","","arcachon","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","urn:lsid:marinespecies.org:taxname:126980","","","","","","","","","","","",NA,"","","","","","","","",NA,""
"6","3497c0ca-54ab-43c1-9847-d59683867eb6","36fbc01b-72bd-42f0-af0a-e1701cddcf94",-1.259,46.072,1063238400000,1063238400000,1063238400000,2003,"Chelon ramada","Liza ramada",NA,NA,0,"{no_depth}","f","f",8183,19,14.82,33.42,1,1,1,0,"Species",1042830,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Mugiliformes","Mugiloidei",NA,NA,NA,"Mugilidae","",NA,NA,NA,"Chelon","",NA,NA,NA,"Chelon ramada","",NA,NA,NA,NA,NA,"Collection","","","CC BY 4.0","MNHN","","","","","8","","MNHN","IC","","","PreservedSpecimen","","","","","FN2-56881886-8-MNHN","2004-0736","","FN2-56881886-8-MNHN","""""n.o.gwen drez|misolre, camp.""""","","1","","","","",NA,"","","present","","","","","","","","",NA,"","",NA,"","","","","","","","","2003-09-11","",NA,NA,"",NA,NA,"","","","","","","","","","","","","ocean atlantique nord-est","","","","","","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","urn:lsid:marinespecies.org:taxname:126980","","","","","","","","","","","",NA,"","","","","","","","",NA,""
"7","3f52bb44-faa1-4167-bde4-fb928e8c779c","36fbc01b-72bd-42f0-af0a-e1701cddcf94",-31.15,50.685,1002672000000,1002672000000,1002672000000,2001,"Chelon ramada","Liza ramada",NA,NA,0,"{no_depth}","f","f",1218473,3238.4,11.82,35.08,1,1,1,0,"Species",1042830,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Mugiliformes","Mugiloidei",NA,NA,NA,"Mugilidae","",NA,NA,NA,"Chelon","",NA,NA,NA,"Chelon ramada","",NA,NA,NA,NA,NA,"Collection","","","CC BY 4.0","MNHN","","","","","8","","MNHN","IC","","","PreservedSpecimen","","","","","FN2-56883219-8-MNHN","2003-0309","","FN2-56883219-8-MNHN","""""n.o.gwen drez|cgfs2001, camp.""""","","1","","","","",NA,"","","present","","","","","","","","",NA,"","",NA,"","","","","","","","","2001-10-10","",NA,NA,"",NA,NA,"","","","","","","","","","","","","france","","","","","","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","urn:lsid:marinespecies.org:taxname:126980","","","","","","","","","","","",NA,"","","","","","","","",NA,""
"8","c5682ef5-ee86-4c24-8266-99bd0c00d31f","36fbc01b-72bd-42f0-af0a-e1701cddcf94",32.333,30.333,NA,NA,NA,NA,"Chelon ramada","Liza ramada",NA,NA,1,"{no_depth}","f","f",622,1,NA,NA,1,1,1,0,"Species",1042830,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Mugiliformes","Mugiloidei",NA,NA,NA,"Mugilidae","",NA,NA,NA,"Chelon","",NA,NA,NA,"Chelon ramada","",NA,NA,NA,NA,NA,"Collection","","","CC BY 4.0","MNHN","","","","","8","","MNHN","IC","","","PreservedSpecimen","","","","","FN2-56890326-8-MNHN","2001-2766","","FN2-56890326-8-MNHN","gruvel","","1","","","","",NA,"","","present","","","","","","","","",NA,"","",NA,"","","","","","","","","0000-00-00","",NA,NA,"",NA,NA,"","","","","","","","","","","","","egypte","","","","","grand lac amer","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","urn:lsid:marinespecies.org:taxname:126980","","","","","","","","","","","",NA,"","","","","","","","",NA,""
"9","65292799-214b-4935-a6d2-3c70f7706025","5da207d6-fc1e-4e02-a2e8-bdfda1a97585",4.77667,52.9975,804297600000,804297600000,804297600000,1995,"Chelon ramada","Liza ramada (Risso, 1827)",NA,NA,10,"{no_depth}","f","f",234,-0.4,11.88,31.74,1,1,1,0,"Species",1042830,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Mugiliformes","Mugiloidei",NA,NA,NA,"Mugilidae","",NA,NA,NA,"Chelon","",NA,NA,NA,"Chelon ramada","",NA,NA,NA,NA,NA,"","2018-04-09 15:18:52","","","","","","","","","IMIS:dasid:5776","NIOZ","kom-fyke","","","HumanObservation","","","","","211927","211927","","","","","","","","","",NA,"","","present","","","","","","","","",NA,"","",NA,"","","","","1","","","","1995-06-28","",NA,NA,"1995",6,28,"","","8784","","","","","","","","","","","","","","","","","",NA,NA,"",NA,NA,"","","","","","","","EPSG:4326",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","urn:lsid:marinespecies.org:taxname:126980","","","","","","","","","","","",NA,"","","","","(Risso, 1827)","","","",NA,""
"10","4e06c8ba-f483-40b5-8d6d-ac3f7327aa4f","5da207d6-fc1e-4e02-a2e8-bdfda1a97585",4.77667,52.9975,798336000000,798336000000,798336000000,1995,"Chelon ramada","Liza ramada (Risso, 1827)",NA,NA,10,"{no_depth}","f","f",234,-0.4,11.88,31.74,1,1,1,0,"Species",1042830,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Mugiliformes","Mugiloidei",NA,NA,NA,"Mugilidae","",NA,NA,NA,"Chelon","",NA,NA,NA,"Chelon ramada","",NA,NA,NA,NA,NA,"","2018-04-09 15:18:52","","","","","","","","","IMIS:dasid:5776","NIOZ","kom-fyke","","","HumanObservation","","","","","209911","209911","","","","","","","","","",NA,"","","present","","","","","","","","",NA,"","",NA,"","","","","1","","","","1995-04-20","",NA,NA,"1995",4,20,"","","8722","","","","","","","","","","","","","","","","","",NA,NA,"",NA,NA,"","","","","","","","EPSG:4326",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","urn:lsid:marinespecies.org:taxname:126980","","","","","","","","","","","",NA,"","","","","(Risso, 1827)","","","",NA,""
