"","id","dataset_id","decimallongitude","decimallatitude","date_start","date_mid","date_end","date_year","scientificname","originalscientificname","minimumdepthinmeters","maximumdepthinmeters","coordinateuncertaintyinmeters","flags","dropped","absence","shoredistance","bathymetry","sst","sss","marine","brackish","freshwater","terrestrial","taxonrank","aphiaid","redlist_category","superdomain","domain","kingdom","subkingdom","infrakingdom","phylum","phylum_division","subphylum_subdivision","subphylum","infraphylum","superclass","class","subclass","infraclass","subterclass","superorder","order","suborder","infraorder","parvorder","superfamily","family","subfamily","supertribe","tribe","subtribe","genus","subgenus","section","subsection","series","species","subspecies","natio","variety","subvariety","forma","subforma","type","modified","language","license","rightsholder","accessrights","bibliographiccitation","references","institutionid","collectionid","datasetid","institutioncode","collectioncode","datasetname","ownerinstitutioncode","basisofrecord","informationwithheld","datageneralizations","dynamicproperties","materialsampleid","occurrenceid","catalognumber","occurrenceremarks","recordnumber","recordedby","recordedbyid","individualcount","organismquantity","organismquantitytype","sex","lifestage","reproductivecondition","behavior","establishmentmeans","occurrencestatus","preparations","disposition","othercatalognumbers","associatedmedia","associatedreferences","associatedsequences","associatedtaxa","organismid","organismname","organismscope","associatedoccurrences","associatedorganisms","previousidentifications","organismremarks","eventid","parenteventid","samplingprotocol","samplesizevalue","samplesizeunit","samplingeffort","eventdate","eventtime","startdayofyear","enddayofyear","year","month","day","verbatimeventdate","habitat","fieldnumber","fieldnotes","eventremarks","locationid","highergeographyid","highergeography","continent","waterbody","islandgroup","island","country","countrycode","stateprovince","county","municipality","locality","verbatimlocality","verbatimelevation","minimumelevationinmeters","maximumelevationinmeters","verbatimdepth","minimumdistanceabovesurfaceinmeters","maximumdistanceabovesurfaceinmeters","locationaccordingto","locationremarks","verbatimcoordinates","verbatimlatitude","verbatimlongitude","verbatimcoordinatesystem","verbatimsrs","geodeticdatum","coordinateprecision","pointradiusspatialfit","footprintwkt","footprintsrs","footprintspatialfit","georeferencedby","georeferenceddate","georeferenceprotocol","georeferencesources","georeferenceverificationstatus","georeferenceremarks","geologicalcontextid","earliesteonorlowesteonothem","latesteonorhighesteonothem","earliesteraorlowesterathem","latesteraorhighesterathem","earliestperiodorlowestsystem","latestperiodorhighestsystem","earliestepochorlowestseries","latestepochorhighestseries","earliestageorloweststage","latestageorhigheststage","lowestbiostratigraphiczone","highestbiostratigraphiczone","lithostratigraphicterms","group","formation","member","bed","identificationid","identifiedby","identifiedbyid","dateidentified","identificationreferences","identificationremarks","identificationqualifier","identificationverificationstatus","typestatus","taxonid","scientificnameid","acceptednameusageid","parentnameusageid","originalnameusageid","nameaccordingtoid","namepublishedinid","taxonconceptid","acceptednameusage","parentnameusage","originalnameusage","nameaccordingto","namepublishedin","namepublishedinyear","higherclassification","specificepithet","infraspecificepithet","verbatimtaxonrank","scientificnameauthorship","vernacularname","nomenclaturalcode","taxonomicstatus","nomenclaturalstatus","taxonremarks"
"1","2a1755fc-fbdb-4dd8-a37b-9a4bac287a0c","9b787218-7138-4ffa-8ba6-36d63d391f8c",150.366668701,-5.16666650772,NA,NA,NA,NA,"Synchiropus splendidus","Synchiropus splendidus",NA,NA,NA,"{no_depth}","f","f",4225,993,29.8,34.05,1,0,0,0,"Species",273264,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Callionymiformes","",NA,NA,NA,"Callionymidae","",NA,NA,NA,"Synchiropus","",NA,NA,NA,"Synchiropus splendidus","",NA,NA,NA,NA,NA,"","","","","","","","","","","","FISH","Occurrence","","","HumanObservation","","","","","","FISH 387523","","","","","","","","","",NA,"","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,"",NA,NA,"","","","","","","","","","Oceania","","","Papua N Guin","","","","","Kimbe bay, New Britain","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Allen, G.R.","","","","","","","","","urn:lsid:marinespecies.org:taxname:273264","","","","","","","","","","","",NA,"","","","","(Herre, 1927)","","","",NA,""
"2","b991fcd9-6679-45a6-a09a-bd2d8f53931d","9b787218-7138-4ffa-8ba6-36d63d391f8c",144,-1,NA,NA,NA,NA,"Synchiropus splendidus","Synchiropus splendidus",NA,NA,NA,"{no_depth}","f","f",34547,2541,29.59,34.4,1,0,0,0,"Species",273264,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Callionymiformes","",NA,NA,NA,"Callionymidae","",NA,NA,NA,"Synchiropus","",NA,NA,NA,"Synchiropus splendidus","",NA,NA,NA,NA,NA,"","","","","","","","","","","","USNM","Occurrence","","","PreservedSpecimen","","","","","","USNM 00236384","","","Springer, V. G. Et Al.","","","","","","",NA,"","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,"",NA,NA,"","","","","","","","","","Oceania","","","Papua N Guin","","","","","PAPUA-NEW GUINEA: NINIGO ISLANDS: (JUST SW OF 78-2) JUST SEOF AMI ISLAND.","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","urn:lsid:marinespecies.org:taxname:273264","","","","","","","","","","","",NA,"","","","","(Herre, 1927)","","","",NA,""
"3","dcfad6e8-d4c2-4f20-874c-dbe7e9dccbb6","9b787218-7138-4ffa-8ba6-36d63d391f8c",134.503616333,7.32222223282,NA,NA,NA,NA,"Synchiropus splendidus","Synchiropus splendidus",NA,3.05,NA,"{on_land,depth_exceeds_bath}","f","f",-146,-59,29.22,33.82,1,0,0,0,"Species",273264,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Callionymiformes","",NA,NA,NA,"Callionymidae","",NA,NA,NA,"Synchiropus","",NA,NA,NA,"Synchiropus splendidus","",NA,NA,NA,NA,NA,"","","","","","","","","","","","CAS","Occurrence","","","PreservedSpecimen","","","observedindividualcount=4;","","","CAS 46732","Collecting Method: poison station","","Fehlmann, Suman, Rikrik, Harry (Rofen)","","","","","","",NA,"","","","75% ETHYL","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,"",NA,NA,"","","","","","","","","","Oceania","","","Palau","","","","","Iwayama Bay Small bay on west side of Arappu Pt., east section of Koror; 0-40' off rocky shore; low tide; water 0-10' deep.","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","R. Fricke/1980","","","","","","","","","urn:lsid:marinespecies.org:taxname:273264","","","","","","","","","","","",NA,"","","","","(Herre, 1927)","","","",NA,""
"4","2bddff90-8b4e-4b62-bd27-5391e1253fda","9b787218-7138-4ffa-8ba6-36d63d391f8c",134.497772217,7.31416702271,NA,NA,NA,NA,"Synchiropus splendidus","Synchiropus splendidus",NA,14.335,NA,"{}","f","f",116,-25,29.21,33.82,1,0,0,0,"Species",273264,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Callionymiformes","",NA,NA,NA,"Callionymidae","",NA,NA,NA,"Synchiropus","",NA,NA,NA,"Synchiropus splendidus","",NA,NA,NA,NA,NA,"","","","","","","","","","","","CAS","Occurrence","","","PreservedSpecimen","","","observedindividualcount=1;","","","CAS 46743","Collecting Method: ca. 2 qts. noxfish, dipnets","","H.H. DeWitt, Tewid & Sengich","","","","","","",NA,"","","","75% ETHYL","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,"",NA,NA,"","","","","","","","","","Oceania","","","Palau","","","","","In Ngarahelngael Pass ca. 350 yds. n. of Imilkolk section of Auluptagel I., ca. 350 yds from undercut rock cliffs.","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","R. Fricke/1980","","","","","","","","","urn:lsid:marinespecies.org:taxname:273264","","","","","","","","","","","",NA,"","","","","(Herre, 1927)","","","",NA,""
"5","ca464432-67d7-407b-b6ca-c4abdddb32f4","9b787218-7138-4ffa-8ba6-36d63d391f8c",123.454437256,9.20444488525,NA,NA,NA,NA,"Synchiropus splendidus","Synchiropus splendidus",7.6,15.2,NA,"{}","f","f",624,16,28.42,32.78,1,0,0,0,"Species",273264,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Callionymiformes","",NA,NA,NA,"Callionymidae","",NA,NA,NA,"Synchiropus","",NA,NA,NA,"Synchiropus splendidus","",NA,NA,NA,NA,NA,"","","","","","","","","","","","ROM","Occurrence","","","PreservedSpecimen","","","observedindividualcount=2;","","","ROM 53540","Collecting Method: Rotenone","","Mooi, R.; Downar, E.; Burridge-Smith, M.; Benjamin","","","","","","",NA,"","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,"",NA,NA,"","","","","","","","","","Asia","","","Philippines","","Negros Oriental","","","West Pacific Ocean Tonga Point","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Winterbottom, R.","","","","","","","","","urn:lsid:marinespecies.org:taxname:273264","","","","","","","","","","","",NA,"","","","","(Herre, 1927)","","","",NA,""
"6","b460a443-e9ef-4623-a7fa-49c43359de26","b8617377-eb1c-4db2-baa6-8788a632e810",123.385,9.43666666667,548553600000,548553600000,548553600000,1987,"Synchiropus splendidus","Synchiropus splendidus",NA,NA,NA,"{no_depth}","f","f",294,-1,28.47,32.83,1,0,0,0,"Species",273264,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Callionymiformes","",NA,NA,NA,"Callionymidae","",NA,NA,NA,"Synchiropus","",NA,NA,NA,"Synchiropus splendidus","",NA,NA,NA,NA,NA,"","","","","","","","","","","","ROM","Fishes","","","HumanObservation","","","observedindividualcount=2;","","","53543","","RW87-37","Johnson, D.; Downar, E.; Catada, D.; Deran, V.","","","","","","",NA,"","","","","","","","","","","",NA,"","",NA,"","","","","","","","","1987-05-21T12:00:00Z","",NA,NA,"1987",5,21,"","","","","","","","","","","","","Philippines","","Cebu","Sumilon Island","","Just Inshore of RW87-36, Bohol Strait","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Winterbottom, R.","","","","","","","","","urn:lsid:marinespecies.org:taxname:273264","","","","","","","","","","","",NA,"","","","","","","","",NA,""
"7","5c17055b-f2e5-416d-9e58-47cb17836717","b8617377-eb1c-4db2-baa6-8788a632e810",134.488305556,7.55213888889,1086048000000,1086048000000,1086048000000,2004,"Synchiropus splendidus","Synchiropus splendidus",NA,NA,NA,"{no_depth}","f","f",2101,9,29.19,33.8,1,0,0,0,"Species",273264,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Callionymiformes","",NA,NA,NA,"Callionymidae","",NA,NA,NA,"Synchiropus","",NA,NA,NA,"Synchiropus splendidus","",NA,NA,NA,NA,NA,"","","","","","","","","","","","ROM","Fishes","","","HumanObservation","","","observedindividualcount=1;","","","78306","","RW04-26","Winterbottom, R.;Holleman, W.;Hubley, B.;Winterbottom, D.","","","","","","",NA,"","","","","","","","","","","",NA,"","",NA,"","","","","","","","","2004-06-01T12:00:00Z","",NA,NA,"2004",6,1,"","","","","","","","","","","","","Palau","","Ngaremlengui","","","W coast Babeldaob Island to N of main pass, Philippine Sea","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Winterbottom, R.","","","","","","","","","urn:lsid:marinespecies.org:taxname:273264","","","","","","","","","","","",NA,"","","","","","","","",NA,""
"8","9348de0a-a893-4228-82e5-cc06e80a65fd","b8617377-eb1c-4db2-baa6-8788a632e810",134.499833333,7.323,1086307200000,1086307200000,1086307200000,2004,"Synchiropus splendidus","Synchiropus splendidus",NA,NA,NA,"{no_depth}","f","f",13,-28,29.21,33.82,1,0,0,0,"Species",273264,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Callionymiformes","",NA,NA,NA,"Callionymidae","",NA,NA,NA,"Synchiropus","",NA,NA,NA,"Synchiropus splendidus","",NA,NA,NA,NA,NA,"","","","","","","","","","","","ROM","Fishes","","","HumanObservation","","","observedindividualcount=2;","","","78311","","RW04-33","Winterbottom, R.;Holleman, W.;Hubley, B.;Winterbottom, D.;Bauman, A.;MM","","","","","","",NA,"","","","","","","","","","","",NA,"","",NA,"","","","","","","","","2004-06-04T12:00:00Z","",NA,NA,"2004",6,4,"","","","","","","","","","","","","Palau","","Koror","","","Nikko Bay, E side ca. 50 m E of RW 04-32, just W of Kaibakku Island, Philippine Sea","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Winterbottom, R.","","","","","","","","","urn:lsid:marinespecies.org:taxname:273264","","","","","","","","","","","",NA,"","","","","","","","",NA,""
"9","9307f61a-74cf-4fc5-9062-9671a1ebcea4","292f775d-c300-4e21-8af2-b3b16a0a0ddc",106.836997986,-6.07899999619,NA,NA,NA,NA,"Synchiropus splendidus","Synchiropus splendidus",NA,NA,NA,"{no_depth}","f","f",4017,9,29.12,31.36,1,0,0,0,"Species",273264,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Callionymiformes","",NA,NA,NA,"Callionymidae","",NA,NA,NA,"Synchiropus","",NA,NA,NA,"Synchiropus splendidus","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","HumanObservation","","","","","","","project code=TZAIC;Process ID=TZAIC820-06;Sample ID=HLC-11882;COI-5P Seq Length=652[0n];Voucher Type=;Institution Storing=Biodiversity Institute of Ontario;Identifier email=;Province=Jakarta Raya;Region=Jakarta;Exact Site=;Elev=;subfamily=","","Daniel Yanke","","","","","","",NA,"","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,"",NA,NA,"","","HLC-11882","","","","","","","","","","Indonesia","","","","","","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","urn:lsid:marinespecies.org:taxname:273264","","","","","","","","","","","",NA,"","","","","","","","",NA,""
"10","8246931f-acb2-49c2-aef6-c94e940eac00","292f775d-c300-4e21-8af2-b3b16a0a0ddc",106.836997986,-6.07899999619,NA,NA,NA,NA,"Synchiropus splendidus","Synchiropus splendidus",NA,NA,NA,"{no_depth}","f","f",4017,9,29.12,31.36,1,0,0,0,"Species",273264,"","Biota",NA,"Animalia",NA,NA,"Chordata",NA,NA,"Vertebrata","Gnathostomata","","Actinopteri","Teleostei","",NA,"","Callionymiformes","",NA,NA,NA,"Callionymidae","",NA,NA,NA,"Synchiropus","",NA,NA,NA,"Synchiropus splendidus","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","HumanObservation","","","","","","","project code=TZAIC;Process ID=TZAIC821-06;Sample ID=HLC-11883;COI-5P Seq Length=618[0n];Voucher Type=;Institution Storing=Biodiversity Institute of Ontario;Identifier email=;Province=Jakarta Raya;Region=Jakarta;Exact Site=;Elev=;subfamily=","","Daniel Yanke","","","","","","",NA,"","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,"",NA,NA,"","","HLC-11883","","","","","","","","","","Indonesia","","","","","","","",NA,NA,"",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","urn:lsid:marinespecies.org:taxname:273264","","","","","","","","","","","",NA,"","","","","","","","",NA,""
